file,begin,end,speaker,loglikelihood
027280-3100675,0.0,2.1333125,027280,-5.338553990610329
024832-2789771,0.0,2.8793125,024832,-5.835560975609757
027280-3099628,0.0,2.7733125,027280,-5.674212996389892
024832-2212685,0.0,1.671875,024832,-6.336221556886227
027280-3098705,0.0,2.9866875,027280,-5.138946308724832
024832-2788237,0.0,4.7833125,024832,-6.709324267782426
027280-3101528,0.0,3.2,027280,-5.4409624999999995
024832-2290522,0.0,3.3436875,024832,-6.183158682634731
027280-3101759,0.0,1.92,027280,-5.31009375
024832-2213171,0.0,3.575875,024832,-6.405733893557423
027280-3099746,0.0,3.6693125,027280,-5.705035519125683
024832-2212752,0.0,2.229125,024832,-5.791220720720721
027280-3100577,0.0,2.4746875,027280,-5.188967611336032
024832-2537694,0.0,2.8793125,024832,-5.853435540069686
027280-3100212,0.0,2.816,027280,-5.790879003558719
024832-2857981,0.0,9.6130625,024832,-5.353217481789803
027280-3105291,0.0,2.56,027280,-5.584
024832-2783306,0.0,3.1579375,024832,-5.782409523809524
027280-3100702,0.0,2.56,027280,-5.853859375
027280-3097239,0.0,2.7306875,027280,-5.004648351648352
024832-2473393,0.0,2.7399375,024832,-5.423985347985348
024832-2538486,0.0,3.390125,024832,-5.893082595870207
024832-2215321,0.0,3.29725,024832,-6.607063829787235
024832-2788868,0.0,1.9969375,024832,-6.741306532663317
024832-2472826,0.0,3.29725,024832,-5.024352583586626
024832-2858078,0.0,1.7183125,024832,-6.671619883040935
024832-2788765,0.0,3.390125,024832,-6.208693215339233
024832-2213201,0.0,2.13625,024832,-5.412525821596244
024832-2290011,0.0,3.7151875,024832,-4.895832884097035
024832-2289919,0.0,2.3684375,024832,-5.1993262711864405
024832-2790128,0.0,6.9195625,024832,-6.069369030390738
024832-2290774,0.0,4.551125,024832,-5.435204395604396
024832-2212208,0.0,3.204375,024832,-6.419528124999999
024832-2290799,0.0,2.9721875,024832,-5.027892255892256
024832-2470665,0.0,2.1826875,024832,-5.275472477064221
024832-2289762,0.0,3.018625,024832,-5.591710963455149
027280-3105487,0.0,4.096,027280,-4.934618581907091
027280-3105119,0.0,2.4746875,027280,-5.011923076923076
027280-3106016,0.0,2.688,027280,-5.828615671641791
027280-3101228,0.0,1.7493125,027280,-5.482879310344828
027280-3098821,0.0,2.2186875,027280,-4.854108597285068
027280-3099322,0.0,2.9013125,027280,-5.95283448275862
027280-3099104,0.0,2.0053125,027280,-5.404025000000001
027280-3101660,0.0,1.92,027280,-5.039233333333333
027280-3096625,0.0,3.0293125,027280,-5.257162251655629
027280-3099508,0.0,3.5413125,027280,-5.08304802259887
027280-3105435,0.0,2.816,027280,-5.062106761565836
027280-3101490,0.0,3.2426875,027280,-5.4262098765432105
027280-3103989,0.0,1.792,027280,-5.086219553072626
027280-3103838,0.0,3.072,027280,-5.659641693811075
027280-3104419,0.0,2.304,027280,-5.106195652173913
027280-3105006,0.0,2.4746875,027280,-5.238028340080971
027280-3106227,0.0,2.304,027280,-5.41425652173913
027280-3105982,0.0,3.0293125,027280,-5.643794701986755
